Company,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Country,High_Cocoa
A. Morin,2016,63.0,France,3.75,Unknown,Sao Tome,0
A. Morin,2015,70.0,France,2.75,Unknown,Togo,0
A. Morin,2015,70.0,France,3.0,Unknown,Togo,0
A. Morin,2015,70.0,France,3.5,Unknown,Togo,0
A. Morin,2015,70.0,France,3.5,Unknown,Peru,0
A. Morin,2014,70.0,France,2.75,Criollo,Venezuela,0
A. Morin,2014,70.0,France,3.5,Unknown,Cuba,0
A. Morin,2014,70.0,France,3.5,Criollo,Venezuela,0
A. Morin,2014,70.0,France,3.75,Criollo,Venezuela,0
A. Morin,2014,70.0,France,4.0,Unknown,Peru,0
A. Morin,2013,70.0,France,2.75,Unknown,Panama,0
A. Morin,2013,70.0,France,3.0,Criollo,Madagascar,0
A. Morin,2013,70.0,France,3.25,Unknown,Brazil,0
A. Morin,2013,70.0,France,3.75,Unknown,Ecuador,0
A. Morin,2013,70.0,France,2.75,Unknown,Colombia,0
A. Morin,2013,70.0,France,3.0,Unknown,Burma,0
A. Morin,2013,70.0,France,3.25,Unknown,Papua New Guinea,0
A. Morin,2013,70.0,France,4.0,Trinitario,Venezuela,0
A. Morin,2013,70.0,France,3.25,Unknown,Peru,0
A. Morin,2013,70.0,France,3.5,Unknown,Peru,0
A. Morin,2013,63.0,France,4.0,Unknown,Peru,0
A. Morin,2012,70.0,France,3.5,Unknown,Bolivia,0
A. Morin,2012,63.0,France,3.75,Unknown,Peru,0
Acalli,2015,70.0,U.S.A.,3.75,Unknown,Peru,0
Acalli,2015,70.0,U.S.A.,3.75,Criollo,Peru,0
Adi,2011,60.0,Fiji,2.75,Trinitario,Fiji,0
Adi,2011,80.0,Fiji,3.25,Trinitario,Fiji,1
Adi,2011,88.0,Fiji,3.5,Trinitario,Fiji,1
Adi,2011,72.0,Fiji,3.5,Trinitario,Fiji,1
Aequare (Gianduja),2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,0
Aequare (Gianduja),2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,0
Ah Cacao,2009,70.0,Mexico,3.0,Criollo,Mexico,0
Akesson'S (Pralus),2011,75.0,Switzerland,3.75,Trinitario,Indonesia,1
Akesson'S (Pralus),2010,75.0,Switzerland,2.75,Criollo,Madagascar,1
Akesson'S (Pralus),2010,75.0,Switzerland,2.75,Forastero,Brazil,1
Alain Ducasse,2014,65.0,France,2.75,Trinitario,Trinidad,0
Alain Ducasse,2014,75.0,France,2.75,Trinitario,Vietnam,1
Alain Ducasse,2014,75.0,France,3.0,Trinitario,Madagascar,1
Alain Ducasse,2013,75.0,France,2.5,Trinitario,Venezuela,1
Alain Ducasse,2013,75.0,France,2.5,Unknown,Peru,1
Alexandre,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,0
Alexandre,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,0
Alexandre,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,0
Alexandre,2017,70.0,Netherlands,3.5,Forastero,Tanzania,0
Altus Aka Cao Artisan,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua,0
Altus Aka Cao Artisan,2016,60.0,U.S.A.,3.0,Unknown,Peru,0
Altus Aka Cao Artisan,2016,60.0,U.S.A.,2.5,Unknown,Bolivia,0
Altus Aka Cao Artisan,2016,60.0,U.S.A.,2.5,Unknown,Peru,0
Altus Aka Cao Artisan,2016,60.0,U.S.A.,2.75,Unknown,Ecuador,0
Altus Aka Cao Artisan,2013,60.0,U.S.A.,2.5,Unknown,Venezuela,0
Altus Aka Cao Artisan,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,0
Altus Aka Cao Artisan,2013,80.0,U.S.A.,3.25,Unknown,Bolivia,1
Altus Aka Cao Artisan,2013,60.0,U.S.A.,3.0,Unknown,Bolivia,0
